District_1,County,Enrollment_1,PercentFreeorReducedLunch,SumofAmountofBondTax,BondAmountPerStudent
Vineland Elementary,Kern,732,99.9,4000000,5464
Mendota Unified,Fresno,3443,99.1,34000000,9875
Round Valley Unified,Mendocino,459,99.1,4000000,8715
Parlier Unified,Fresno,3421,98.5,10500000,3069
Terra Bella Union Elementary,Tulare,920,98.4,3300000,3587
Golden Plains Unified,Fresno,1698,96.7,13000000,7656
Pixley Union Elementary,Tulare,1072,96.1,7800000,7276
Arvin Union,Kern,3050,95.6,26000000,8525
Cutler-Orosi Joint Unified,Tulare,4125,95.4,22400000,5430
Greenfield Union Elementary,Monterey,3571,94.7,99600000,27891
Traver Joint Elementary,Tulare,216,94,1400000,6481
Lindsay Unified,Tulare,4111,93.6,43900000,10679
San Pasqual Valley Unified,Imperial,714,93,8000000,11204
Lennox,Los Angeles,7244,92.8,20700000,2858
Edison Elementary,Kern,1041,92.7,6000000,5764
Planada Elementary,Merced,805,92.5,4400000,5466
Delano Joint Union High,Kern,4314,92.4,82000000,19008
Earlimart Elementary,Tulare,1833,92.4,10300000,5619
Paramount Unified,Los Angeles,15213,92.3,206000000,13541
El Monte City,Los Angeles,8233,92.1,243000000,29515
Reef-Sunset Unified,Kings,2664,92.1,32800000,12312
King City Union,Monterey,2662,92,12000000,4508
Kings River Union Elementary,Tulare,465,92,1700000,3656
Stone Corral Elementary,Tulare,619,91.8,715000,1155
Mountain View Elementary,Los Angeles,6773,91.4,57000000,8416
Richland Union Elementary,Kern,3475,91.2,23000000,6619
Soledad Unified,Monterey,4882,90.9,65210000,13357
Lamont Elementary,Kern,3106,90.9,4200000,1352
San Ardo Union Elementary,Monterey,105,90.5,6800000,64762
Lucerne Elementary,Lake,263,90.5,4000000,15209
Caruthers Unified,Fresno,1450,90.1,18000000,12414
McFarland Unified,Kern,3588,90.1,33300000,9281
Loleta Union Elementary,Humboldt,101,90.1,456000,4515
Fairfax Elementary,Kern,2705,89.9,43800000,16192
Williams Unified,Colusa,1357,89.9,11000000,8106
Bakersfield City,Kern,30699,89.8,210000000,6841
Firebaugh-Las Deltas Unified,Fresno,2260,89.8,15000000,6637
Lynwood Unified,Los Angeles,14211,89.7,178000000,12526
South Whittier Elementary,Los Angeles,2781,89.5,36500000,13125
Wasco Union Elementary,Kern,3649,89.4,25700000,7043
Woodlake Unified,Tulare,2135,89.3,10600000,4965
Peninsula Union,Humboldt,37,89.2,6000000,162162
Santa Maria-Bonita,Santa Barbara,17122,89.2,45000000,2628
Ravenswood City Elementary,San Mateo,3632,88.8,106000000,29185
Robla Elementary,Sacramento,2345,88.7,29800000,12708
Bassett Unified,Los Angeles,3611,88.6,103000000,28524
Santa Paula Unified,Ventura,5306,88.6,88600000,16698
Coachella Valley Unified,Riverside,18372,88.6,291000000,15839
Roseland,Sonoma,2874,88.6,7000000,2436
Beardsley Elementary,Kern,1908,88.4,30300000,15881
San Bernardino City Unified,San Bernardino,53027,88.3,440000000,8298
El Monte Union High,Los Angeles,8880,88.2,238000000,26802
Chualar Union,Monterey,330,88.2,2900000,8788
Madera Unified,Madera,20956,88.1,148500000,7086
Heber Elementary,Imperial,1204,87.9,6000000,4983
Hawthorne,Los Angeles,8364,87.8,103000000,12315
